"Date","Time","Close","y","AR1","AR2","AR3","EMA05","EMA10","MACD","CMO24","CMO48"
2015-09-03,15:00:00,1.11145,0.00043,0.00107,0.00026,-0.01149,0.00308764,0.00643876,-0.00146272,0.08333333,-0.04166667
2015-09-03,18:00:00,1.11188,0.00109,0.00043,0.0015,0.00069,0.00177171,0.00491621,-0.00141183,0.16666667,0
2015-09-03,21:00:00,1.11297,-0.00046,0.00109,0.00152,0.00259,0.00045442,0.00313049,-0.00121618,0.16666667,0
2015-09-04,00:00:00,1.11251,0.00044,-0.00046,0.00063,0.00106,0.00060956,0.00293762,-0.0010362,0.08333333,-0.04166667
2015-09-04,03:00:00,1.11295,0.00098,0.00044,-2e-05,0.00107,0.00011299,0.00204346,-0.00081568,0.08333333,0
2015-09-04,06:00:00,1.11393,-0.00131,0.00098,0.00142,0.00096,-0.00057806,0.00087006,-0.00054498,0.16666667,0.04166667
2015-09-04,09:00:00,1.11262,-0.00058,-0.00131,-0.00033,0.00011,0.00048791,0.00178363,-0.00040193,0.16666667,0.04166667
2015-09-04,12:00:00,1.11204,0.00266,-0.00058,-0.00189,-0.00091,0.00071189,0.00193383,-0.00029887,0.08333333,0.04166667
2015-09-04,15:00:00,1.1147,0.00081,0.00266,0.00208,0.00077,-0.00129879,-0.00059419,-1.884e-05,0.08333333,0.04166667
2015-09-06,18:00:00,1.11551,0.00091,0.00081,0.00347,0.00289,-0.00140591,-0.00114893,0.00023941,0.08333333,0.08333333
2015-09-06,21:00:00,1.11642,-0.00187,0.00091,0.00172,0.00438,-0.00154399,-0.00168463,0.00047632,0.16666667,0.125
2015-09-07,00:00:00,1.11455,-0.00079,-0.00187,-0.00096,-0.00015,0.00021729,0.00015162,0.00050892,0.08333333,0.08333333
2015-09-07,03:00:00,1.11376,0.00283,-0.00079,-0.00266,-0.00175,0.00067147,0.00077036,0.00047953,0,0.08333333
2015-09-07,06:00:00,1.11659,-0.00135,0.00283,0.00204,0.00017,-0.00143907,-0.00168521,0.00064275,0.08333333,0.08333333
2015-09-07,09:00:00,1.11524,0.00138,-0.00135,0.00148,0.00069,-5.943e-05,-0.00027431,0.00064991,0.08333333,0.08333333
2015-09-07,12:00:00,1.11662,0.00044,0.00138,3e-05,0.00286,-0.00095967,-0.00135358,0.00073163,0.08333333,0.125
2015-09-07,15:00:00,1.11706,-0.00019,0.00044,0.00182,0.00047,-0.00093316,-0.00146752,0.00079414,0.16666667,0.125
2015-09-07,18:00:00,1.11687,-0.00044,-0.00019,0.00025,0.00163,-0.00049549,-0.0010453,0.00079931,0.16666667,0.125
2015-09-07,21:00:00,1.11643,0.0049,-0.00044,-0.00063,-0.00019,-3.705e-05,-0.00049529,0.0007505,0.16666667,0.08333333
2015-09-08,00:00:00,1.12133,-0.00183,0.0049,0.00446,0.00427,-0.00329142,-0.00441438,0.00100948,0.16666667,0.08333333
2015-09-08,03:00:00,1.1195,-0.00355,-0.00183,0.00307,0.00263,-0.00097433,-0.00211454,0.00101603,0.08333333,0.08333333
2015-09-08,06:00:00,1.11595,0.00121,-0.00355,-0.00538,-0.00048,0.00171706,0.00117442,0.00075191,0,0.08333333
2015-09-08,09:00:00,1.11716,0.00102,0.00121,-0.00234,-0.00417,0.00033799,-2.916e-05,0.00063406,0.08333333,0.08333333
2015-09-08,12:00:00,1.11818,0.00057,0.00102,0.00223,-0.00132,-0.00045472,-0.00085846,0.00060049,0.16666667,0.125
2015-09-08,15:00:00,1.11875,0.00153,0.00057,0.00159,0.0028,-0.0006832,-0.00116879,0.00059142,0.16666667,0.125
2015-09-08,18:00:00,1.12028,-0.00098,0.00153,0.0021,0.00312,-0.00147552,-0.00220815,0.0006581,0.16666667,0.16666667
2015-09-08,21:00:00,1.1193,-0.00187,-0.00098,0.00055,0.00112,-0.0003304,-0.0010049,0.00060708,0.08333333,0.125
2015-09-09,00:00:00,1.11743,-0.00183,-0.00187,-0.00285,-0.00132,0.00102635,0.00070776,0.00042678,0.08333333,0.08333333
2015-09-09,03:00:00,1.1156,0.00206,-0.00183,-0.0037,-0.00468,0.00190418,0.0020763,0.00017648,0,0.04166667
2015-09-09,06:00:00,1.11766,-0.00434,0.00206,0.00023,-0.00164,-0.00010393,1.329e-05,0.00014328,0,0.08333333
2015-09-09,09:00:00,1.11332,0.00283,-0.00434,-0.00228,-0.00411,0.002824,0.00356173,-0.00016087,0,0.08333333
2015-09-09,12:00:00,1.11615,0.00328,0.00283,-0.00151,0.00055,-4.05e-06,0.00059864,-0.00016096,0.08333333,0.08333333
2015-09-09,15:00:00,1.11943,0.00204,0.00328,0.00611,0.00177,-0.00218942,-0.00219389,5.862e-05,0.08333333,0.08333333
2015-09-09,18:00:00,1.12147,0.00169,0.00204,0.00532,0.00815,-0.00281966,-0.00346414,0.0003251,0.08333333,0.08333333
2015-09-09,21:00:00,1.12316,-0.00241,0.00169,0.00373,0.00701,-0.00300649,-0.00421707,0.00058393,0.08333333,0.125
2015-09-10,00:00:00,1.12075,1e-04,-0.00241,-0.00072,0.00132,-0.00039771,-0.00147856,0.00056143,0.08333333,0.08333333
2015-09-10,03:00:00,1.12085,-0.00218,1e-04,-0.00231,-0.00062,-0.00033186,-0.0012916,0.00052266,0.16666667,0.08333333
2015-09-10,06:00:00,1.11867,0.00236,-0.00218,-0.00208,-0.00449,0.00123204,0.00072682,0.00032903,0.08333333,0.08333333
2015-09-10,09:00:00,1.12103,0.00515,0.00236,0.00018,0.00028,-0.00075202,-0.00133628,0.00033748,0.16666667,0.125
2015-09-10,12:00:00,1.12618,0.00228,0.00515,0.00751,0.00533,-0.00393473,-0.00530701,0.00064943,0.16666667,0.125
2015-09-10,15:00:00,1.12846,-0.00092,0.00228,0.00743,0.00979,-0.0041432,-0.0062076,0.00095061,0.16666667,0.16666667
2015-09-10,18:00:00,1.12754,0.00031,-0.00092,0.00136,0.00651,-0.00214885,-0.00432627,0.00102287,0.16666667,0.16666667
2015-09-10,21:00:00,1.12785,0.00037,0.00031,-0.00061,0.00167,-0.00163929,-0.00379336,0.00102402,0.25,0.20833333
2015-09-11,00:00:00,1.12822,-7e-05,0.00037,0.00068,-0.00024,-0.00133957,-0.00340643,0.00098205,0.25,0.20833333
2015-09-11,03:00:00,1.12815,-0.00137,-7e-05,3e-04,0.00061,-0.00084643,-0.00272986,0.00088492,0.25,0.16666667
2015-09-11,06:00:00,1.12678,0.00125,-0.00137,-0.00144,-0.00107,0.00034899,-0.00111266,0.00067333,0.25,0.125
2015-09-11,09:00:00,1.12803,0.00578,0.00125,-0.00012,-0.00019,-0.00060072,-0.00193313,0.00056676,0.25,0.16666667
2015-09-11,12:00:00,1.13381,-2e-04,0.00578,0.00703,0.00566,-0.00425386,-0.00631079,0.00081941,0.25,0.20833333
2015-09-11,15:00:00,1.13361,7e-05,-2e-04,0.00558,0.00683,-0.00270263,-0.00499979,0.00090046,0.16666667,0.16666667
2015-09-13,18:00:00,1.13368,0.00093,7e-05,-0.00013,0.00565,-0.00184847,-0.00414806,0.00088489,0.16666667,0.16666667
2015-09-13,21:00:00,1.13461,0.00052,0.00093,0.001,8e-04,-0.00185236,-0.00415482,0.00086245,0.25,0.16666667
2015-09-14,00:00:00,1.13513,0.001,0.00052,0.00145,0.00152,-0.00158163,-0.0038249,0.00080873,0.33333333,0.20833333
2015-09-14,03:00:00,1.13613,-0.00281,0.001,0.00152,0.00245,-0.00172113,-0.0039477,0.00076703,0.41666667,0.20833333
2015-09-14,06:00:00,1.13332,-0.0032,-0.00281,-0.00181,-0.00129,0.00072586,-0.00093089,0.00049015,0.33333333,0.16666667
2015-09-14,09:00:00,1.13012,4e-04,-0.0032,-0.00601,-0.00501,0.00261719,0.00185649,5.436e-05,0.33333333,0.16666667
2015-09-14,12:00:00,1.13052,0.00089,4e-04,-0.0028,-0.00561,0.00147808,0.00119163,-0.00022855,0.33333333,0.20833333
2015-09-14,15:00:00,1.13141,4e-05,0.00089,0.00129,-0.00191,0.000392,0.00024674,-0.00036903,0.33333333,0.20833333
2015-09-14,18:00:00,1.13145,-0.00049,4e-05,0.00093,0.00133,0.00023462,0.0001691,-0.00046626,0.33333333,0.20833333
